id,name,group,updown
M129T5_1,3-Methyl-2-oxovalerate,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M147T2_3,Mevalonate,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M165T6,DL-3-Phenyllactate,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M184T1_12,Epinephrine,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M188T1_3,N-Acetylglutamate,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M215T3_3,cis-Trihomoaconitate,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M220T4_7,D-(+)-Pantothenate,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M229T7_3,Dodecanedioate,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M316T5_6,Val-Val-Val,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M105T1_1,Glycerate,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M182T1_3,Homocysteate,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M215T7,Undecanedioate,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M219T3_2,Serylleucine,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M248T4_2,3-Methoxytyramine sulfate,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M255T9,Palmitoleate,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M275T8_2,Nandrolone,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M350T1_6,N-Acetyl-9-O-acetylneuraminate,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M145T7_2,Coumarin,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M159T1_4,2-Keto-3-deoxy-D-gluconate,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M187T1_10,Glycylleucine,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M203T3_3,Isoleucyl-Alanine,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M219T1_16,L-Lysopine,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M223T4_6,Glycyl-Phenylalanine,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M224T3_5,Fumarycarnitine,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M353T8,"9,12,13-TriHOME",Not Sex-Specific & Opposite Trend,CONV-R Enriched
M76T1_2,Trimethylamine N-oxide (TMAO),Not Sex-Specific & Opposite Trend,CONV-R Enriched
M87T1_2,Pyruvate,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M130T1_9,Pipecolate,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M170T1_10,Pyridoxine,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M176T6_2,Indole-3-acetate,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M215T1_4,2-C-Methyl-D-erythritol 4-phosphate,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M221T1_14,N-Acetyl-_-glucosaminylamine,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M231T4_8,Valyl-Isoleucine,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M245T5_6,Isoleucyl-Leucine,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M276T2_6,Glutaminylproline,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M375T8_4,3_-Hydroxy-5-cholenoate,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M150T1_5,Guanine,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M152T4,3-Hydroxyanthranilate,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M181T7,4-Phenyl-3-buten-2-ol,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M237T8_2,Humulene-8-hydroperoxide,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M247T7_2,"5,8-Tetradecadienoate",Not Sex-Specific & Opposite Trend,CONV-R Enriched
M257T8_2,Tetradecanedioate,Not Sex-Specific & Opposite Trend,CONV-R Enriched
