"","variable","importance"
"70","X5816",0.0476666666666667
"71","X6175",0.0476666666666667
"72","X53481453",0.0476666666666667
"73","X5460887",0.0473333333333333
"74","X69041809",0.0473333333333333
"75","X92997",0.0473333333333333
"76","X4596190",0.0473333333333333
"77","X17756764",0.0473333333333333
"78","X439925",0.0471666666666667
"79","X514186",0.0471666666666667
"80","X15572",0.0471666666666667
"81","X121677",0.0471666666666667
"82","X10133",0.0471666666666667
"83","X131801513",0.0471666666666667
"84","X245622",0.0471666666666667
"85","X71749556",0.0471666666666667
"86","X937",0.0471666666666667
"87","X519195",0.0471666666666667
"88","X88064",0.0466666666666667
"89","X448580",0.0466666666666667
"90","X61152160",0.0466666666666667
"91","X259613",0.0466666666666667
"92","X54676866",0.0466666666666667
"93","X441476",0.0466666666666667
"94","X5988",0.0466666666666667
"95","X1130",0.0466666666666667
"96","X177491",0.0465
"97","X131753085",0.0465
"98","X69247902",0.0465
"99","X194618",0.0465
"100","X3246938",0.0465
"101","X122045",0.0465
"102","X439454",0.0465
"103","X9839580",0.0463333333333333
"104","X5284144",0.0463333333333333
"105","X6436905",0.0463333333333333
"106","X13185",0.0463333333333333
"107","X445063",0.0463333333333333
"108","X9816781",0.0463333333333333
"109","X5280535",0.0463333333333333
"110","X97415",0.0458333333333333
"111","X53477693",0.0458333333333333
"112","X42622727",0.0458333333333333
"113","X124202068",0.0458333333333333
"114","X6439582",0.0453333333333333
"115","X121893",0.0451666666666667
"116","X13783449",0.0451666666666667
"117","X51",0.0451666666666667
"118","X5280346",0.0451666666666667
"119","X124202120",0.0451666666666667
"120","X115282",0.0451666666666667
"121","X9834371",0.045
"122","X193530",0.0446666666666667
"123","X7020641",0.0446666666666667
"124","X45782784",0.0446666666666667
"125","X18392195",0.0446666666666667
"126","X445408",0.0446666666666667
"127","X168708",0.0446666666666667
"128","X5962",0.0438333333333333
"129","X352038",0.0438333333333333
"130","X84723",0.0438333333333333
"131","X1174",0.0438333333333333
"132","X5961",0.0436666666666667
"133","X3549397",0.0436666666666667
"134","X273022",0.0436666666666667
"135","X13804",0.0436666666666667
"136","X5367327",0.0436666666666667
"137","X10940565",0.0436666666666667
"138","X5283869",0.0431666666666667
"139","X71464551",0.0431666666666667
"140","X7015683",0.0426666666666667
"141","X84265",0.0411666666666667
"142","X107689",0.0396666666666667
"143","X20822599",0.0396666666666667
"144","X65065",0.024
"145","X87275314",0.024
"146","X7010579",0.024
"147","X188292",0.024
"148","X70678657",0.024
"149","X440780",0.024
"150","X14968868",0.024
"151","X91666454",0.024
"152","X445639",0.024
"153","X124202100",0.024
"154","X323",0.024
"155","X131769828",0.024
"156","X5459922",0.024
"157","X75619",0.0238333333333333
"158","X3325403",0.0238333333333333
"159","X69522",0.0238333333333333
"160","X500",0.0238333333333333
"161","X46878420",0.0238333333333333
"162","X750",0.0238333333333333
"163","X131802990",0.0238333333333333
"164","X193872",0.0238333333333333
"165","X235009",0.0238333333333333
"166","X3083688",0.0238333333333333
"167","X5460407",0.0238333333333333
"168","X798",0.0238333333333333
"169","X10253562",0.0238333333333333
"170","X222528",0.0238333333333333
"171","X9903",0.0238333333333333
"172","X689043",0.0238333333333333
"173","X124202110",0.0238333333333333
"174","X688505",0.0238333333333333
"175","X121454166",0.0238333333333333
"176","X11953821",0.0238333333333333
"177","X182089",0.0238333333333333
"178","X5771758",0.0238333333333333
"179","X53481022",0.0238333333333333
"180","X14586819",0.0238333333333333
"181","X547",0.0238333333333333
"182","X119",0.0238333333333333
"183","X1145",0.0238333333333333
"184","X13730",0.0238333333333333
"185","X135398592",0.0238333333333333
"186","X135398635",0.0238333333333333
"187","X997",0.0238333333333333
"188","X11127419",0.0238333333333333
"189","X9945785",0.0238333333333333
"190","X4454759",0.0238333333333333
"191","X439177",0.0238333333333333
"192","X204",0.0238333333333333
"193","X12582097",0.0238333333333333
"194","X439232",0.0233333333333333
"195","X20977730",0.0233333333333333
"196","X52922080",0.0233333333333333
"197","X10176752",0.0233333333333333
"198","X6427003",0.0233333333333333
"199","X306144",0.0233333333333333
"200","X18218220",0.0233333333333333
"201","X302430",0.0233333333333333
"202","X68578696",0.0233333333333333
"203","X7015694",0.0233333333333333
"204","X14475583",0.0233333333333333
"205","X24978507",0.0233333333333333
"206","X119405",0.0233333333333333
"207","X131752248",0.0233333333333333
"208","X1551553",0.0233333333333333
"209","X14219281",0.0233333333333333
"210","X5283992",0.0233333333333333
"211","X122312",0.0233333333333333
"212","X22833539",0.0233333333333333
"213","X6675",0.0233333333333333
"214","X56928070",0.0233333333333333
"215","X119507",0.0233333333333333
"216","X45480617",0.0233333333333333
"217","X440569",0.0233333333333333
"218","X11953814",0.0233333333333333
"219","X439887",0.0233333333333333
"220","X52927610",0.0233333333333333
"221","X187",0.0233333333333333
"222","X135398634",0.0233333333333333
"223","X92918",0.0233333333333333
"224","X5321825",0.0233333333333333
"225","X1102",0.0233333333333333
"226","X11747",0.0233333333333333
"227","X136927122",0.0233333333333333
"228","X439351",0.0233333333333333
"229","X1032",0.0233333333333333
"230","X64689",0.0233333333333333
"231","X124202075",0.0233333333333333
"232","X187489",0.0233333333333333
"233","X972",0.0233333333333333
"234","X1060",0.0233333333333333
"235","X588",0.0233333333333333
