1_30A1A_M,2_30A1B_M,3_30A1C_M,4_30A2A_M,5_30A2B_M,6_30A2C_M,7_9A1C_F,8_9A2A_F,9_9A2B_F,10_9A2C_F,11_9A2D_F,12_9A2E_F,13_GF_27F2,14_GF_27F3,15_GF_27F4,16_GF_27F5,17_GF_27F6,18_GF_27F7,19_GF_27M1,20_GF_27M2,21_GF_27M5,22_GF_27M7,23_GF_27M8,24_GF_27M9
46829549.29,29719744.44,77890316.25,26110640.85,73231484.06,73267037.21,77621817.95,80960431.69,78081820.34,74345796.73,62162893.69,66886942.26,64172092.41,39315076.23,73000902.77,73224827.82,58698489.23,65963021.14,36349528.31,43191529.14,76992627.17,45962755.64,68062311.55,36768134.15
77512613.33,212891730.9,148277663,94134974.46,40012434.74,28239451.44,41093247.75,42604230.79,44505358.05,23586903.21,43464994.29,19715626.1,434168149.8,437391316.4,72206848.44,41038541.28,48606636.43,47659391.12,79618135.8,102591262.5,33438745.84,75078373.22,57817586.69,280095696.4
7096314.84,3700771.845,3126400.513,4697838.656,14971957.75,4437101.116,3949912.477,4181705.303,6896605.494,9572881.305,2718545.886,4728681.456,4330687.609,14522280.41,3942575.918,2127073.585,3163911.866,3427739.432,17941086.79,6097058.569,3471801.304,3617004.98,6138646.987,1195008.49
3343962.765,1498778.77,2993223.535,2902830.716,2451069.295,2533461.886,4027565.717,2862074.925,2906934.766,3543898.401,2742660.112,3251080.073,3813216.304,2796729.83,2742497.898,2663823.016,2685967.783,1585078.274,1462719.77,2855894.163,2319482.582,4076724.472,447629.4087,2713184.393
11567965.6,16063583.6,13449524.29,12211538.94,12428163.33,19866659.64,16817061.05,22517817.3,17949036.52,12672806.75,161170021.3,117605777.4,21452440.13,145316656.5,155564428.2,21976011.69,13416087.64,19404102.58,22761621.09,25866464.29,137085108.5,21576792.39,20124472.22,23039665.34
17853190.9,19625890,23267197.96,15610854.19,15130744.46,15299277.85,9648163.155,18605090.14,18982109.87,15156187.98,15588966.42,7153794.871,16394369.17,20268475.72,17357410.41,20582911.77,19938171.87,21520552.96,20045790.78,25661135.5,18280082.07,19751860.42,19427524.25,17372644.38
4135343.6,6332493.314,4175631.242,5535071.587,5655286.882,3777812.475,9099643.864,6163853.696,3597695.08,6784885.882,5898703.874,6119799.687,5879893.73,6818464.876,7056942.191,6968282.069,7250309.377,6018722.738,3967308.441,8121481.824,6047949.883,3394201.144,5765808.965,4172280.717
588909.499,694881.4904,959835.624,521596.5276,462116.3817,605138.044,372681.963,248734.3986,219644.6795,154536.3792,159435.4712,149487.818,396965.8033,734615.4725,600242.2213,792211.8597,714558.5106,802170.0518,860084.2338,1125748.84,727773.0086,846068.807,813117.0671,695713.2339
7002307.378,11151955.21,14495585.52,12317842.9,1506984.663,16922235.4,7622942.259,3153404.628,8213407.321,8200007.305,4336449.169,8750749.535,18171891.95,17287100.82,2610587.444,7602823.104,5048754.84,9549540.755,7302706.228,11057431.43,8078184.228,12761748.13,11459270.28,17752389.54
4974631.021,3175995.191,4384275.755,4077432.251,2595361.56,4812715.529,3252051.583,2413532.822,2187199.33,3289279.03,2075701.479,2625374.436,3406776.993,5100550.638,4785787.179,8366108.035,5520119.049,8504445.877,4024398.41,3952373.654,5044053.079,3483956.47,3200002.015,3856543.237
8596532.857,18218009.05,17855297.81,9800846.334,11398032.4,7438257.245,10393049.63,14940325.29,15241228.9,22210061.72,14205081.69,20161697.72,10694836.41,10940933,13156332.31,14221826.12,14249726.42,17771759.38,19560039.34,14547083.74,10904059.27,16410752.37,13957277.64,16624031.73
18155000.04,50571714.23,36906353.66,47317200.41,31407829.48,52219066.95,25374989.96,31426964.81,26999785.71,26043356.72,30402912.86,16411822.92,40306342.18,23441300.46,48167570.06,27159847.32,49925945.67,25659590.39,29295890.33,56660464.48,25330220.6,28388943.38,30933051.53,57582679.75
6802565.351,4793832.582,5398721.848,11092146.36,6483594.449,4103060.517,6480708.441,7238775.403,4868652.182,8668309.615,8680469.783,7129732.014,16981967.24,16741614.84,19841338.33,19788171.54,19047133.43,18803883.93,19866112.99,21636771.15,20821574.69,20528558.71,20502264.93,20296842.81
46427249.97,64157257.58,31048516.06,21950991.41,22592799,35767590.11,19494303.71,38354416.15,22724027.75,62294198.08,35510360.55,31115431.94,66604926.66,44219179.96,23941337.48,35671927.74,41888365.51,34844359.4,21065238.71,26362092.97,30518183.41,33171117.92,34670500.45,17120758.68
46325245.26,72971370.42,60403762.08,51934559.95,54485189.76,78068209.8,39457803.24,51687530.19,60730890.31,37651948.47,49101118.82,90702100.76,51901675.09,37845559.38,58209523.08,52592231.02,43612082.09,47097590,49918115,54274582.84,28230455.13,60658467.23,46398435.3,43270889.96
69566848.35,54490847.86,85310810.21,32309318.41,39080476.28,112699889.6,53542452.17,42985373.17,32390799.07,68965013.93,40047897.87,34997073.12,34904917.91,46424105.46,22369441.98,82185160.13,24164680.84,52979042.89,38156899.6,44098449.87,27015775.9,38915679.8,39322457.02,82923566.23
79805126.09,42543614.58,135621982.2,105892669.7,49693985.33,66600427.2,43236973.16,960141.2523,22821609.91,78366994.63,48499307.66,9445890.589,104322422.2,44456044.65,37994358.29,75705275.28,118157696.6,44193681.1,39115431.52,152892703.1,138274230.8,48432851.58,52658912.45,42196551.28
54307637.12,212585486.6,96408348.83,52712304.57,74818498.27,112689200.8,55383035.88,66851549.14,194177267.3,50480032.7,61669825.9,53508124.18,132968492.1,67279331.02,49237292.09,50969102.83,58651299.65,47315748.45,175910660.6,6947672.212,51965580.14,39079182.01,64634230.79,67730907.85
97994353.73,54454200.78,53057493.6,47826829.72,68292320.02,47380418.1,65959644.57,86065038.49,45788798.97,38588229.13,81494846.56,83519137.71,137498511,144826041.6,51681818.54,55800498.46,47803720.98,61823901.15,40395797.29,140200399.6,100458416.1,81956834.23,93536113.77,130827813.1
26710725.35,94189262.85,45137971.47,34653372.36,26197938,20707715.35,21862796.46,34023071.91,21453983.81,25664594.53,27025482.05,74994849.8,65508409.85,69509727.14,33999468.06,38674275.94,8275223.612,25146713.64,24903084.86,55931258.14,26971048.26,50563607.17,33102719.12,83252250.6
5377275.266,4458871.252,2264648.687,4449738.977,4979410.527,4824281.851,5305176.194,4862064.46,5144007.444,5752908.738,4825335.168,2302217.829,4895584.943,4852151.717,4929704.821,3150109.903,4343422.335,2736012.678,5442456.488,3366400.685,4570756.541,4852056.736,4702625.63,4595358.974
5087073.643,2427515.764,2577119.334,5567375.281,4595243.464,5490984.027,5493442.827,3921165.994,4167038.073,1590262.316,4511909.782,5045570.328,4510071.705,3221664.673,4606452.117,2815681.102,5110051.436,4646249.292,5389481.28,4597409.794,2734290.289,5397483.069,4996609.93,5038454.389
12995013.55,13590542.1,12955502.29,13327737.32,12656908.77,13035498.55,13326602.83,13686028.24,13989638.56,13002671.31,13730623.04,12628506.18,10752925.69,13057202.85,13298580.5,12429099.97,11797833.98,12738386.85,13585861.43,12988093.17,11888514.75,12278815.72,13039291.5,12325793.24
5599571.125,4166294.584,2964783.788,5839026.222,4982712.924,3995189.37,5692890.095,5003770.311,4527056.615,3642252.846,4468439.412,4789229.023,2488305.495,4115345.354,3653995.906,4191885.297,4939800.118,3427661.093,3517663.235,3455438.729,4741392.598,5335001.818,4482209.582,3352837.391
326029818.1,277474740.1,309392963.4,332407579,268894355.2,291710275.1,338098906.2,272404319.5,296387110.7,340514192.6,288071064.5,287927221.7,323327194.4,273336979.2,306384496.8,314564536.3,955765599.5,1039236824,351975112.9,319286054,283584165.9,336662294.9,925725460.1,299165892.2
26867780.9,23219190.62,19286688.66,19607347.61,19078128.98,17748221.45,20922273.84,22167643.33,23213149.94,35924208.83,20149027.46,20375114.46,17045664.49,18931132.15,17470417.73,18577440.83,17921909.68,17441297.85,23386620.4,22527715.48,20661483.24,18651570.41,22588185.41,21354785.94
12162580.36,19194396.75,17337231.96,14866432.01,12837863.97,13344029.54,12024464.81,16472802.54,14885912.51,11363132.77,17038647.8,13259529.92,14019578.42,13335686.82,13495166.15,13895666.3,16332689.99,13830369.3,12537244.12,13956869.63,14239430.96,14027434.61,13676834.89,15278853.88
3123245.563,4061377.655,3071738.61,3229553.244,4415201.383,3084167.51,2492474.574,4097089.738,3276114.61,2595832.568,3438773.592,3068982.408,3257192.591,3850201.602,4196520.561,3244447.257,3463705.417,4066198.043,3646852.017,3388405.521,3476248.912,2882697.482,3070965.399,3427980.595
4163919587,4114320805,3323162289,4276780452,3582521278,2998916412,3432564243,3006660887,2881893046,3816922284,3129851446,2768302494,3763082648,4321185536,3688746695,3916736155,3057858244,3486945489,3782711774,3718595210,3340950342,4089110244,3620091682,3783523946
5472911.449,6621336.224,7446754.664,4467564.389,971536.4588,2185651.627,10019884.73,6157414.904,5058310.87,6585433.233,6101340.352,1654976.91,3995450.419,10787578.59,5023260.463,6817388.677,1970435.874,9191084.211,3014035.143,12511008.32,6321889.598,6181381.101,3331010.893,5141701.897
3533621.351,7126788.357,3858791.302,3825508.481,2082722.748,2509374.803,2410810.713,1867663.585,2154509.299,2102070.424,2476549.402,1927102.809,3467562.731,3834850.594,2447478.347,2861789.453,3494629.781,2044000.58,3655093.208,2436531.293,2964374.051,3934108.643,2352656.54,4634488.102
534293075.6,2394805545,2474069607,139224563.5,352218778.2,505150805.5,2815351538,190263783.2,522995351.8,434981326.6,1369599054,930764050,447262989.3,500343074.6,70240264.74,626072413.1,380400402.2,3220995563,1030588084,757247942.3,400634521.1,1868129039,746701311.3,503864723.4
631657019.2,774176569.1,2320879109,767141952.8,636616757.9,602054620.9,495997023.3,646810983,332537204,597665705.8,705633245.1,482546596.3,427686630.3,704063662.5,325039589.7,958760018.3,556038261.3,662378975.5,623176183.3,573833997.4,611727411.8,686798865.9,659284234,389004540.5
394862145.8,336311883.1,331842516,325467077.9,241028346.7,291445472.5,382993723.4,452694881.8,520311354.8,381810728.6,326996956.8,358809995,364463799.7,556046567.5,283313800.1,327791251.4,322470631.9,295696013.8,312086272.8,342433963.8,298202349.4,475923599,292256725,368556415.2
245975549.1,44433372.1,182756017,316843158.6,362502233.8,202450656.7,205681741.3,145704715.3,248294961.7,532627057.7,395402589.3,297965027.7,180014288.6,215415932.4,297886806.3,185689526.5,244963934.1,116086008.9,155101305.8,188418668.6,263403653.6,277488051.7,329658398.1,128500498.7
1296805.24,580094.5632,252273.2737,1658137.083,1453056.469,275813.5994,2576506.152,761058.9451,1156471.763,1055079.867,668617.7299,426644.9543,1248726.172,2785106.26,2207275.318,1998770.518,2234989.628,2468766.642,1450974.1,1208308.153,1927584.875,1734811.277,1832842.832,2845371.461
1615831711,1552621189,698349974.2,928362897.9,1442973662,375428152.5,1067078407,716519403.7,1578462929,1685886564,1328488358,1232486272,1674581237,897090641.9,1473397175,1366054219,522426509.8,1363583513,1601359918,1737706866,1458417298,1584902655,1483790600,1541955477
764041.0394,1087889.203,927918.5884,6353185.449,7491843.483,7333325.74,6743879.966,7666290.353,7143339.94,65583.79111,6815671.581,7463824.478,704480.4137,899460.7158,7231288.055,862525.1758,977396.1889,861035.931,874068.5314,1029020.927,852751.0911,6745126.989,776034.227,664340.5873
20093596.13,18394572.37,19955726.58,17745328.18,13585330.74,15932525.76,17843336.81,7413370.328,8348234.025,7114550.161,7452182.242,8927426.824,10339514.49,17361512.93,17693560.74,18298838.06,16054890.87,17005247.58,31191118.88,21622110.3,20006378.7,24872683.44,19794949.76,19926653.19
1757378252,1707290135,3423490301,965945612.4,2933941066,2730689501,863656827.4,892870597.7,1365626792,2041789074,537871525.5,2618105015,3169826674,878972456.7,351589011.8,3141119243,1841333405,1698735059,3347649300,3194732824,2851372578,1323454759,1570686465,1640714239
1476121.168,1070144.518,1021602.128,1143993.785,1188529218,1259988.191,1424638.916,1778240.916,1601668.127,1554387.04,1508572.759,1102932.131,1294399.058,1452610.125,1302490.934,1328580.704,1380558.784,1602397.872,1504475.996,1292141.556,1643172.071,1406031.74,1661971.188,1161208.593
3737932096,2457567692,1126793563,2469093600,2304412633,1757560286,1075153322,2274286135,946718865.7,2924642975,1944569764,2380140316,2551230250,2346432795,2443694770,2336605576,2435534050,1292169599,1309443675,1016647931,1497132042,1120722959,2480393412,1428023287
1866546674,2651317252,2054379320,2034184451,2603070118,1459482696,1731741412,1345920612,2563058310,2646008030,1324177381,2464080301,1447864708,1671308774,1726176663,1881777668,2666183027,1783348754,1817077760,1567321230,1543094656,1811916823,1380501119,1387975330
1690820.068,1775072.383,1968103.282,1173353.934,2043867.626,1899849.906,2136508.62,3205675.105,2897969.724,2420081.074,2881781.88,2342984.172,2407959.461,2072215.533,2581048.596,2199300.465,2668623.524,2455563.024,2256022.712,2564879.232,2400167.825,2036821.799,2143547.605,2438133.337
1272853.066,1869719.2,1698934.59,1185270.1,1480232.044,1486157.139,1580606.13,3096925.414,2577555.079,1721160.656,2666669.226,1972445.948,2286237.82,2451390.29,1620377.872,1487668.653,2414233.068,1929853.689,1324617.595,2337857.963,1992475.079,1412044.418,1587618.989,1964326.629
2647488573,1562190667,1675323188,1129868675,1918974263,1016152098,1360070258,998874258.5,1091088300,2960777044,977372651.9,1119537349,1082739222,1983163322,2184608062,2042788778,1096049311,2024741766,2041358875,1573315034,1737534461,1900311103,1622901848,3663966255
2621149936,1709245257,2502798286,1860684372,3605831844,1048469656,4046182504,1053564680,3519189930,2315674353,989500579.9,748291721.3,830815798.6,1563079701,2349888844,1761674775,1009843670,952385966.7,3775606964,2807058381,1791192728,2203376469,1663092668,1682825873
2574573323,2741246199,1037273558,3637179105,1502240622,3066704416,3689392610,3213249562,3257393223,2947729271,1480116478,1449793881,932517897.9,2669195187,1414322359,3001763040,2661760580,1245070385,1728620137,2508216286,2682070706,3491004477,1342502638,1550402253
1495497623,3105477001,2083786822,4260541670,3378241812,2597186668,3332094230,1211763861,3086515360,3555470545,1252237077,3010451824,3029836005,3206953843,3516751674,2832173679,2493254111,2594058170,3856300251,3214215879,1163484821,3102390822,3444187148,2405432368
